Country Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,4.9588416146,2.9636654614,4.9328150589,3.9427512518,3.9344907294,1.9598236159,3.8999658753,5.8159259439,1.9272278754,,,,
Africa Eastern and Southern,,,,,,,15.1,,10.5,10.3,,,
Afghanistan,,,,3.9267744953,3.3681096075,4.0873367236,6.2513281666,,,9.7839217823,6.5511634561,6.6784014409,6.6555611518
Africa Western and Central,,,,,,,13.3,,8.1,8.1,,,
Angola,,,,,,4.3557855153,4.8470751765,,,,,,
Albania,3.1015131793,3.4607858357,3.0972300439,2.8590226044,4.3079630492,4.8487315274,5.3876148686,4.2702841943,4.0396270147,2.214131417,2.7369477905,2.0109778588,2.2894924438
Andorra,,0,1.1924494103,0,0,1.1940155938,0,0,0,0,,,
Arab World,,,,,,,4.7,,4.2,3.8,,,
United Arab Emirates,0.73582517699,,,,0.7836259143,0.57003761578,0.75479144893,0.61970613318,0.66202295548,0.64774558626,0.70505476192,0.4637824877,
Argentina,5.3728853713,5.3900404903,5.9156451949,6.5262306799,5.8294564636,6.0768872165,6.341726925,7.2803050637,7.5707989313,6.5861232774,6.0333095226,5.2097151606,5.3244787387
Armenia,2.6704517221,2.6256429842,3.336067533,3.3586164439,1.9462596018,2.4682465299,2.2536273866,2.1742183944,2.4721853397,2.5636126292,2.9630669037,2.3770803273,1.693915557
American Samoa,6.7671589775,1.7132968972,5.2182988346,3.5288928099,8.9151986306,8.967805578,3.5926637806,5.38435307,5.3772113782,7.1676880622,5.3822278835,,
Antigua and Barbuda,13.298676177,20.231110688,18.736679392,18.445292416,6.8158582301,,11.061090402,,,,,,
Australia,1.368975412,1.2191426043,1.2234971646,1.2091480371,1.042668759,1.1003637323,1.0609523222,1.0535408605,1.0298169731,0.9861067998,0.93559210822,0.82571952813,0.89163240342
Austria,0.73623970999,0.54127322618,0.69531650388,0.60912556084,0.68965968267,0.88720637757,0.92916799475,0.72462150506,0.52233231827,0.53003531533,0.65162919875,0.79365961209,0.96722860774
Azerbaijan,2.2015832164,2.1663785612,2.1764095568,,2.2806620341,,2.18032261,2.354704353,2.4827428333,2.3382111188,2.1363919893,2.0415799757,2.2011074485
Burundi,,,4.1963528894,4.4774372292,3.9997205959,3.8957823524,5.4077485682,5.4505612086,5.7292031197,4.5373863906,6.0545373656,,
Belgium,2.081080399,1.9724094505,1.88333282,1.7403420684,1.7278049061,1.9430063574,1.8492867391,1.8379043659,1.8714534287,2.0375744678,1.532444627,1.6900542148,
Benin,,,,,,,,,,,,1.1274974068,
Burkina Faso,0.498945237,0.6595552114,1.027929386,0.89161301248,0.78819824993,0.55963484448,0.69397291164,0.70873004888,0.73922316402,0.64602993073,1.1208627962,1.2504405198,
Bangladesh,2.9562630462,2.707829583,2.8405278728,2.8912153003,2.7023468059,2.6568746121,2.7243998743,2.875726215,2.9213541247,2.5822960967,2.273113534,2.2224946885,2.3733287962
Bulgaria,2.4374198993,2.3361170962,2.285992554,2.007089307,1.9932630403,1.7347342035,1.9225506602,1.4951800334,1.5733582421,1.7500634398,1.1045941609,1.4502033945,1.3046665939
Bahrain,0.73036644571,0.38612871214,0.5382879751,1.0969769846,0.88647909843,0.54766526386,0.30770603612,0.38021975181,0.52392346825,,,,
"Bahamas, The",18.427221537,23.118851645,21.240689013,24.885583524,26.483647756,35.318688592,30.529648139,32.410761462,33.456998314,39.01656868,29.371062359,31.958171469,
Bosnia and Herzegovina,1.9386937241,1.7540171644,1.7580024404,1.9004562433,1.5112760081,1.3929961791,1.747586389,1.2984820745,1.4359126345,1.6621167436,1.3288985528,1.2531575094,1.1733102602
Belarus,7.7126084546,6.8456203957,5.8395056308,5.1626395781,4.2566399337,3.9616301779,3.610474411,3.5337181443,3.6048483939,3.4536005587,3.2501774893,2.5396199226,2.3908727902
Belize,31.578441535,32.438108424,33.569952611,30.827414152,40.004341556,37.54890442,42.899281363,28.636967143,34.808102647,32.970747466,37.459385069,37.788570288,
Bermuda,4.6109155741,4.6230660174,7.7369439072,9.3308243783,10.945024704,12.582375238,9.4968264772,7.9654617578,6.4121060562,6.4513007435,12.960124936,8.1428850908,
Bolivia,5.1301433279,8.0557095207,8.5172418085,8.2854567472,12.668435205,12.102280722,11.76563888,8.8405126928,8.798379529,6.1731052799,6.2183744444,,
