Country Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,74.429,74.576,74.725,74.872,75.017,75.158,75.299,75.441,75.583,75.725,75.868,76.01,76.152
Africa Eastern and Southern,54.7917066462486,55.6823435005197,56.6097989195142,57.5487718622889,58.4706966763051,59.3535949230704,60.1855610471991,60.9533629561754,61.6473665890637,62.2592883749182,62.7876814850688,63.2462635340566,63.648988039777
Afghanistan,58.826,59.375,59.93,60.484,61.028,61.553,62.054,62.525,62.966,63.377,63.763,64.13,64.486
Africa Western and Central,51.8682025707247,52.4639575630919,53.0495003986077,53.6120895132647,54.1443067090059,54.6499981291251,55.1389443224205,55.6189864082126,56.0882690441146,56.5420091409513,56.9747611509084,57.382362702625,57.7623467867763
Angola,51.143,52.177,53.243,54.311,55.35,56.33,57.236,58.054,58.776,59.398,59.925,60.379,60.782
Albania,75.423,75.646,75.912,76.221,76.562,76.914,77.252,77.554,77.813,78.025,78.194,78.333,78.458
Andorra,,,,,,,,,,,,,
Arab World,69.4394593833006,69.7015552895135,69.9421738723304,70.1575600848623,70.3499164210096,70.5287616794948,70.7037977970714,70.8822177024387,71.0642687701762,71.2495709689318,71.4365471749074,71.6226704254941,71.8070751075422
United Arab Emirates,75.573,75.767,75.957,76.145,76.332,76.521,76.711,76.903,77.095,77.285,77.47,77.647,77.814
Argentina,74.62,74.787,74.952,75.116,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372,76.52
Armenia,72.716,72.815,72.946,73.118,73.331,73.572,73.82,74.056,74.273,74.467,74.64,74.797,74.945
American Samoa,,,,,,,,,,,,,
Antigua and Barbuda,75.204,75.376,75.535,75.683,75.823,75.956,76.087,76.218,76.349,76.483,76.617,76.752,76.885
Australia,81.0414634146342,81.2926829268293,81.3951219512195,81.5439024390244,81.6951219512195,81.8951219512195,82.0463414634146,82.1487804878049,82.3,82.4,82.4487804878049,82.5,82.7487804878049
Austria,79.8804878048781,80.1804878048781,80.4317073170732,80.3317073170732,80.5804878048781,80.9829268292683,80.9365853658537,81.1365853658537,81.490243902439,81.190243902439,81.6414634146342,81.6439024390244,81.6926829268293
Azerbaijan,69.259,69.752,70.201,70.597,70.938,71.234,71.506,71.768,72.022,72.266,72.493,72.693,72.864
Burundi,54.163,54.944,55.721,56.488,57.228,57.925,58.568,59.148,59.665,60.123,60.528,60.898,61.247
Belgium,79.380487804878,79.7829268292683,79.6804878048781,80.0341463414634,80.1829268292683,80.5853658536585,80.3853658536585,80.5878048780488,81.2878048780488,80.9926829268293,81.4390243902439,81.4926829268293,81.5951219512195
Benin,57.817,58.255,58.654,59.009,59.318,59.59,59.842,60.092,60.345,60.608,60.885,61.174,61.47
Burkina Faso,54.063,54.841,55.618,56.377,57.096,57.761,58.374,58.937,59.45,59.919,60.354,60.768,61.174
Bangladesh,68.213,68.648,69.072,69.485,69.881,70.256,70.606,70.93,71.231,71.514,71.785,72.052,72.32
Bulgaria,72.6121951219512,72.6634146341464,72.9634146341463,73.4121951219512,73.5121951219512,74.1634146341464,74.3146341463415,74.8609756097561,74.4658536585366,74.6146341463415,74.8121951219512,74.8146341463415,74.9634146341464
Bahrain,75.478,75.625,75.77,75.913,76.057,76.2,76.342,76.484,76.624,76.762,76.899,77.032,77.163
"Bahamas, The",71.988,71.998,72.022,72.067,72.144,72.263,72.424,72.62,72.847,73.088,73.329,73.554,73.752
Bosnia and Herzegovina,75.342,75.498,75.665,75.844,76.031,76.219,76.401,76.569,76.723,76.865,76.998,77.128,77.262
Belarus,69.4048780487805,70.2073170731707,70.4560975609756,70.4073170731707,70.4048780487805,70.5536585365854,71.9658536585366,72.4707317073171,72.9707317073171,73.6243902439025,73.8268292682927,74.1292682926829,74.1756097560976
Belize,70.286,70.636,71.059,71.541,72.057,72.57,73.044,73.452,73.782,74.034,74.219,74.365,74.496
Bermuda,78.8878048780488,78.9341463414634,79.2365853658537,79.3884390243903,79.2885365853658,81.1526829268293,81.6778048780488,80.5724390243902,80.7973170731708,81.0121951219512,81.2270731707317,81.4419512195122,81.6517073170732
Bolivia,65.853,66.395,66.937,67.476,68.007,68.521,69.01,69.468,69.891,70.277,70.626,70.945,71.239
Brazil,72.26,72.618,72.966,73.3,73.619,73.921,74.209,74.483,74.745,74.994,75.23,75.456,75.672
Barbados,78.009,78.097,78.184,78.272,78.364,78.456,78.547,78.633,78.717,78.801,78.888,78.981,79.081
Brunei Darussalam,74.189,74.351,74.494,74.623,74.74,74.852,74.962,75.075,75.193,75.318,75.45,75.585,75.722
Bhutan,66.031,66.709,67.325,67.882,68.384,68.84,69.263,69.662,70.046,70.419,70.781,71.129,71.46
Botswana,53.435,54.983,56.679,58.447,60.211,61.91,63.511,64.976,66.265,67.338,68.178,68.812,69.275
Central African Republic,45.158,45.636,46.161,46.719,47.312,47.95,48.638,49.371,50.129,50.881,51.593,52.24,52.805
Canada,80.3439024390244,80.5439024390244,80.6951219512195,80.9951219512195,81.2463414634146,81.4487804878049,81.6487804878049,81.7487804878049,81.8,81.9,81.9,81.9,82.0487804878049
Central Europe and the Baltics,74.0926027308098,74.2506487210768,74.5759526780779,74.9303639266577,75.2939657786314,75.8884748834282,75.993488603453,76.3551629869809,76.6756236113045,76.5718777647788,76.9698114171911,76.9474426395729,76.9768226818402
Switzerland,81.490243902439,81.7414634146342,81.9926829268293,82.0439024390244,82.2463414634147,82.6951219512195,82.6975609756098,82.7975609756098,83.1975609756098,82.8975609756098,83.6024390243903,83.5512195121951,83.7536585365854
Channel Islands,80.553,80.802,81.041,81.268,81.483,81.688,81.883,82.071,82.252,82.429,82.6,82.766,82.928
Chile,77.865,78.099,78.33,78.558,78.779,78.986,79.176,79.349,79.504,79.646,79.779,79.909,80.042
China,73.271,73.553,73.835,74.119,74.409,74.708,75.013,75.321,75.629,75.928,76.21,76.47,76.704
Cote d'Ivoire,50.561,51.091,51.682,52.313,52.964,53.62,54.271,54.906,55.508,56.065,56.567,57.017,57.422
Cameroon,53.215,53.681,54.153,54.627,55.101,55.581,56.073,56.576,57.083,57.583,58.063,58.511,58.921
"Congo, Dem. Rep.",54.401,55.091,55.743,56.35,56.909,57.427,57.914,58.381,58.828,59.254,59.655,60.026,60.368
"Congo, Rep.",56.573,57.541,58.466,59.321,60.093,60.785,61.423,62.022,62.582,63.097,63.556,63.954,64.29
Colombia,74.5,74.732,74.962,75.193,75.424,75.655,75.882,76.105,76.322,76.531,76.732,76.925,77.109
Comoros,60.407,60.734,61.094,61.475,61.862,62.24,62.595,62.922,63.214,63.471,63.7,63.912,64.118
Cabo Verde,70.565,70.676,70.786,70.911,71.062,71.243,71.445,71.661,71.886,72.117,72.347,72.57,72.782
Costa Rica,78.239,78.362,78.491,78.626,78.769,78.919,79.074,79.234,79.398,79.565,79.738,79.914,80.095
Caribbean small states,72.1870360757779,72.3160565360721,72.4407885010073,72.5617494160666,72.6794042337237,72.7952950904323,72.9118093762699,73.0301385446206,73.1505917872827,73.2730249020468,73.395957988226,73.5174899503022,73.6371062810432
Cuba,77.864,78.019,78.15,78.256,78.338,78.4,78.446,78.485,78.521,78.561,78.607,78.662,78.726
Curacao,74.709756097561,75.3634146341464,75.309756097561,76.1560975609756,,77.4731707317073,77.5243902439024,77.8268292682927,77.9756097560976,78.0756097560976,77.719512195122,78.0170731707317,
Cayman Islands,,,,,82.190243902439,,,,,,,,
Cyprus,78.764,78.91,79.071,79.245,79.43,79.621,79.812,79.999,80.178,80.35,80.513,80.672,80.828
Czech Republic,76.5243902439025,76.7243902439025,76.9756097560976,77.0780487804878,77.4243902439025,77.8731707317073,78.0756097560976,78.1756097560976,78.8243902439024,78.5780487804878,79.0268292682927,78.9780487804878,79.0292682926829
Germany,79.1317073170732,79.5341463414634,79.7365853658537,79.8365853658537,79.9878048780488,80.4365853658537,80.5390243902439,80.490243902439,81.090243902439,80.6414634146342,80.990243902439,80.9926829268293,80.8926829268293
