"","country","year","reading","math","science","gdp","life expectancy","homicide rate"
"2","Australia","2006","513","520","527","36117.487983674","81.0414634146342","1.368975412"
"21","Australia","2009","515","514","527","42783.3225651149","81.5439024390244","1.2091480371"
"24","Australia","2012","512","504","521","68027.8417067378","82.0463414634146","1.0609523222"
"27","Australia","2015","503","494","510","56707.0220772116","82.4","0.9861067998"
"210","Australia","2018","503","491","503","57180.7794001614","82.7487804878049","0.89163240342"
"3","Austria","2006","490","505","511","40669.3269586152","79.8804878048781","0.73623970999"
"310","Austria","2009","470","496","494","48153.3240199631","80.3317073170732","0.60912556084"
"312","Austria","2012","490","506","506","48564.9173350875","80.9365853658537","0.92916799475"
"314","Austria","2015","485","497","495","44195.8175947748","81.190243902439","0.53003531533"
"316","Austria","2018","484","499","490","51486.5755014824","81.6926829268293","0.96722860774"
"39","Brazil","2006","393","370","390","5886.39152194816","72.26","23.960670588"
"391","Brazil","2009","412","386","405","8597.79433526264","73.3","22.960855373"
"392","Brazil","2012","407","389","402","12370.2232548476","74.209","26.621868092"
"393","Brazil","2015","407","377","401","8813.98980647828","74.994","28.59025632"
"394","Brazil","2018","413","384","404","9151.38173161536","75.672","27.382530291"
"40","Bulgaria","2006","402","413","434","4523.0508329806","72.6121951219512","2.4374198993"
"401","Bulgaria","2009","429","428","439","6988.23332468094","73.4121951219512","2.007089307"
"402","Bulgaria","2012","436","439","446","7432.47876568071","74.3146341463415","1.9225506602"
"403","Bulgaria","2015","432","441","446","7074.68102325059","74.6146341463415","1.7500634398"
"404","Bulgaria","2018","420","436","424","9446.70077185518","74.9634146341464","1.3046665939"
"5","Canada","2006","527","527","534","40504.0607253203","80.3439024390244","1.8686421985"
"52","Canada","2009","524","527","529","40876.3101540295","80.9951219512195","1.8076166625"
"53","Canada","2012","523","518","525","52669.0899632316","81.6487804878049","1.5692099924"
"54","Canada","2015","527","516","528","43596.1355365546","81.9","1.6931901668"
"55","Canada","2018","520","512","518","46548.6384108296","82.0487804878049","1.755921136"
"6","Chile","2006","442","411","438","9464.54850677338","77.865","3.6075682379"
"61","Chile","2009","449","421","447","10208.9079714327","78.558","3.7308606847"
"62","Chile","2012","441","423","445","15351.5407387153","79.176","2.4942014127"
"63","Chile","2015","459","423","447","13574.1692377524","79.646","3.3946681228"
"64","Chile","2018","452","417","444","15888.144355397","80.042","4.4048944838"
"7","Colombia","2006","385","370","388","3741.09283661274","74.5","40.459804299"
"71","Colombia","2009","413","381","402","5193.24145795079","75.193","35.345208745"
"72","Colombia","2012","403","376","399","8050.25537167051","75.882","35.680396624"
"73","Colombia","2015","425","390","416","6175.8760297026","76.531","26.897770606"
"74","Colombia","2018","412","391","413","6729.58333198169","77.109","25.343802597"
"42","Croatia","2006","477","467","493","11797.4744733882","75.8368292682927","1.6930608756"
"421","Croatia","2009","476","460","486","14653.0435549819","76.1682926829269","1.1287043096"
"422","Croatia","2012","485","471","491","13401.6566203283","76.9243902439024","1.1871870395"
"423","Croatia","2015","487","464","475","11933.3773788281","77.2756097560976","0.87411059247"
"424","Croatia","2018","479","464","472","15227.5600968096","78.0707317073171","0.57742179724"
"9","Denmark","2006","494","513","496","52026.9995142723","78.0951219512195","0.53266787809"
"91","Denmark","2009","495","503","499","58163.2768762815","78.5975609756098","0.85046492384"
"92","Denmark","2012","496","500","498","58507.5080517852","80.0512195121951","0.83765393451"
"93","Denmark","2015","500","511","502","53254.8563700916","80.7024390243902","1.0898808954"
"94","Denmark","2018","501","509","493","61591.9288698958","80.9536585365854","1.0083219593"
"10","Estonia","2006","501","515","531","12639.4000677296","72.6914634146341","6.743872895"
"101","Estonia","2009","501","512","528","14711.7352728223","74.8243902439024","5.238971964"
"102","Estonia","2012","516","521","541","17403.2053254767","76.3268292682927","4.7613181445"
"103","Estonia","2015","519","520","534","17402.0376128079","77.590243902439","3.4211946812"
"104","Estonia","2018","523","523","530","23063.5638175675","78.2439024390244","2.1165412994"
"11","Finland","2006","547","548","563","41222.6020004611","79.2146341463415","2.2548597913"
"111","Finland","2009","536","541","554","47481.4845364339","79.719512195122","2.2462378324"
"112","Finland","2012","524","519","545","47708.0612784469","80.6268292682927","1.6251847493"
"113","Finland","2015","526","511","531","42801.9081167285","81.4804878048781","1.4960424205"
"114","Finland","2018","520","507","522","49988.9108461845","81.7341463414634","1.6296716121"
"12","France","2006","488","496","495","36474.1595859967","80.8121951219512","1.4290609278"
"121","France","2009","496","497","498","41740.2430343475","81.4146341463415","1.3095015143"
"122","France","2012","505","495","499","40872.3624615688","81.9682926829269","1.2333982084"
"123","France","2015","499","493","495","36652.9223052178","82.3219512195122","1.5701316524"
"124","France","2018","493","495","493","41592.795896432","82.6756097560976","1.1986365025"
"13","Germany","2006","495","504","516","36353.8803343631","79.1317073170732","0.99174890685"
"131","Germany","2009","497","513","520","41650.3678297162","79.8365853658537","0.99258391484"
"132","Germany","2012","508","514","524","43855.8544658618","80.5390243902439","0.81385525966"
"133","Germany","2015","509","506","509","41103.2564363768","80.6414634146342","0.83386916356"
"134","Germany","2018","498","500","503","47973.6076235097","80.8926829268293","0.9479766191"
"14","Greece","2006","460","459","473","24821.9367451879","79.4390243902439","0.98343968041"
"141","Greece","2009","483","466","470","29828.7560245271","80.1878048780488","1.3869539462"
"142","Greece","2012","477","453","467","21912.9982879517","80.6341463414634","1.5397288537"
"143","Greece","2015","467","454","455","18083.8779056547","81.0365853658537","0.87244178726"
"144","Greece","2018","457","451","452","19756.990456255","81.7878048780488","0.94086394499"
"16","Iceland","2006","484","506","491","57492.9342498703","81.1585365853659","0"
"161","Iceland","2009","500","507","496","41301.273219718","81.7512195121951","0.3163986243"
"162","Iceland","2012","483","493","478","45995.5478789467","82.9170731707317","0.30708569533"
"163","Iceland","2015","482","488","473","52951.6815110898","82.4682926829268","0.90843848509"
"164","Iceland","2018","474","495","475","74469.8040591559","82.8609756097561","0.89096913683"
"17","Ireland","2006","517","501","508","54329.1618599624","79.2414634146342","1.4655065843"
"171","Ireland","2009","496","487","508","52133.0906162544","80.190243902439","1.1792001552"
"172","Ireland","2012","523","501","522","49026.0230672702","80.8463414634146","1.1284234904"
"173","Ireland","2015","521","504","503","62012.4849258149","81.4536585365854","0.66631989373"
"174","Ireland","2018","518","500","496","79107.6049934367","82.2048780487805","0.8716054599"
"19","Italy","2006","469","462","475","33529.7266014361","81.2829268292683","1.0675982911"
"191","Italy","2009","486","483","489","37226.7571935402","81.6365853658537","0.99821299571"
"192","Italy","2012","490","485","494","35051.5212697703","82.2390243902439","0.88511138935"
"193","Italy","2015","485","490","481","30242.3861352184","82.5439024390244","0.77420220897"
"194","Italy","2018","476","487","468","34622.1696664741","83.3463414634146","0.5690506607"
"20","Japan","2006","498","523","531","35991.546002862","82.3219512195122","0.48200186353"
"201","Japan","2009","520","529","539","41308.9968370512","82.9314634146342","0.39360524953"
"202","Japan","2012","538","536","547","49145.2804308193","83.0960975609756","0.33405082623"
"203","Japan","2015","516","532","538","34960.6393843385","83.7939024390244","0.2836266795"
"204","Japan","2018","504","527","529","39808.1685608793","84.2109756097561","0.26257409562"
"22","Latvia","2006","479","486","490","9723.44690174779","70.8658536585366","5.7526461049"
"221","Latvia","2009","484","482","494","12331.9285524089","73.0804878048781","5.0354721035"
"222","Latvia","2012","489","491","502","13847.3379393194","73.7780487804878","3.3832475116"
"223","Latvia","2015","488","482","490","13786.4567953114","74.4804878048781","3.3538989075"
"224","Latvia","2018","479","496","487","17865.0310947642","74.7829268292683","4.3558049657"
"23","Lithuania","2006","470","486","488","9230.70798102521","71.0560975609756","8.7184776327"
"231","Lithuania","2009","468","477","491","11820.7761591359","72.9146341463415","7.9563788373"
"232","Lithuania","2012","477","479","496","14367.709424872","73.8634146341464","6.6326039767"
"233","Lithuania","2015","472","478","475","14263.9645773495","74.3219512195122","5.8665589767"
"234","Lithuania","2018","476","481","482","19186.1812814178","75.6804878048781","4.5693560421"
"25","Mexico","2006","410","406","410","9068.29421839425","75.296","9.7173530477"
"251","Mexico","2009","425","419","416","8002.97217765844","75.128","17.608319172"
"252","Mexico","2012","424","413","415","10241.727828043","74.966","22.142133344"
"253","Mexico","2015","423","408","416","9616.64555810607","74.904","17.037828649"
"254","Mexico","2018","420","409","419","9686.98492655586","74.992","29.071061625"
"46","Montenegro","2006","392","399","412","4425.67887307803","73.8390243902439","4.0462044175"
"461","Montenegro","2009","408","403","401","6727.10776676969","75.1439024390244","3.3711490642"
"462","Montenegro","2012","422","410","410","6586.7212793222","76.2","2.7159543145"
"463","Montenegro","2015","427","418","411","6514.27269528653","76.4487804878049","2.7115097208"
"464","Montenegro","2018","421","430","415","8845.91421887296","76.8414634146342","2.2299989009"
"26","Netherlands","2006","507","531","525","44900.9381441374","79.6975609756098","0.7785844981"
"261","Netherlands","2009","508","526","522","52722.2130568997","80.5487804878049","0.92623896039"
"262","Netherlands","2012","511","523","522","50070.1416045904","81.1048780487805","0.86351414525"
"263","Netherlands","2015","503","512","509","45193.4032187971","81.509756097561","0.61398618012"
"264","Netherlands","2018","485","519","503","53044.5324352253","81.8121951219512","0.58618158968"
"28","Norway","2006","484","490","487","74148.3200757187","80.3439024390244","0.70618657963"
"281","Norway","2009","503","498","500","79977.6970817492","80.7951219512195","0.60080628203"
"282","Norway","2012","504","489","495","101524.141851985","81.4512195121951","0.53852272446"
"283","Norway","2015","513","502","498","74355.5158575644","82.3048780487805","0.46155381708"
"284","Norway","2018","499","501","490","82267.809316159","82.7585365853659","0.46834371183"
"29","Poland","2006","508","495","498","9035.41046744936","75.1439024390244","1.2775572022"
"291","Poland","2009","500","495","508","11526.0558884824","75.6951219512195","1.0090758419"
"292","Poland","2012","518","518","526","13097.2708482174","76.7463414634146","1.0699234754"
"293","Poland","2015","506","504","501","12578.4954734362","77.4512195121951","0.78350792589"
"294","Poland","2018","512","516","511","15468.4822194105","77.6024390243903","0.73045470014"
"30","Portugal","2006","472","466","474","19839.4540499032","78.419512195122","1.4701925108"
"301","Portugal","2009","489","487","493","23151.2154130712","78.7268292682927","1.2259448404"
"302","Portugal","2012","488","487","489","20563.7136012629","80.3731707317073","1.1590008577"
"303","Portugal","2015","498","492","501","19250.1065376852","81.1243902439024","0.9644739865"
"304","Portugal","2018","492","492","492","23562.5545228191","81.3243902439024","0.78976680624"
