"","year","country","reading","math","science","gdp"
"2","2018","Australia",503,491,503,36117.487983674
"3","2018","Austria",484,499,490,40669.3269586152
"4","2018","Belgium",493,508,499,38705.1067959147
"5","2018","Canada",520,512,518,40504.0607253203
"6","2018","Chile",452,417,444,9464.54850677338
"7","2018","Colombia",412,391,413,3741.09283661274
"8","2018","Czech Republic",490,499,497,15261.7975911138
"9","2018","Denmark",501,509,493,52026.9995142723
"10","2018","Estonia",523,523,530,12639.4000677296
"11","2018","Finland",520,507,522,41222.6020004611
"12","2018","France",493,495,493,36474.1595859967
"13","2018","Germany",498,500,503,36353.8803343631
"14","2018","Greece",457,451,452,24821.9367451879
"15","2018","Hungary",476,481,481,11493.1004118789
"16","2018","Iceland",474,495,475,57492.9342498703
"17","2018","Ireland",518,500,496,54329.1618599624
"18","2018","Israel",470,463,462,21853.140239801
"19","2018","Italy",476,487,468,33529.7266014361
"20","2018","Japan",504,527,529,35991.546002862
"22","2018","Latvia",479,496,487,9723.44690174779
"23","2018","Lithuania",476,481,482,9230.70798102521
"24","2018","Luxembourg",470,483,477,90788.8004876145
"25","2018","Mexico",420,409,419,9068.29421839425
"26","2018","Netherlands",485,519,503,44900.9381441374
"27","2018","New Zealand",506,494,508,26654.5932018985
"28","2018","Norway",499,501,490,74148.3200757187
"29","2018","Poland",512,516,511,9035.41046744936
"30","2018","Portugal",492,492,492,19839.4540499032
"31","2018","Slovak Republic",458,486,464,13170.7849804675
"32","2018","Slovenia",495,509,507,19672.9655554146
"33","2018","Spain",0,481,483,28389.0785799873
"34","2018","Sweden",506,502,499,46593.6021646111
"35","2018","Switzerland",484,515,495,59300.6172165015
"36","2018","Turkey",466,454,468,8101.85692374776
"37","2018","United Kingdom",504,502,505,44654.0969208924
"38","2018","United States",505,478,502,46298.7314440927
"39","2018","Brazil",413,384,404,5886.39152194816
"40","2018","Bulgaria",420,436,424,4523.0508329806
"42","2018","Croatia",479,464,472,11797.4744733882
"44","2018","Indonesia",371,379,396,1589.80148866142
"46","2018","Montenegro",421,430,415,4425.67887307803
"47","2018","Qatar",407,414,419,59530.5610001944
"48","2018","Romania",428,430,426,5757.4964285719
"50","2018","Thailand",393,419,426,3369.54319807344
"51","2018","Uruguay",427,418,426,5887.84516224163
"53","2015","Australia",503,494,510,36117.487983674
