"","year","country","homicide_rate","test_type","score"
"1","2018","Australia",1.368975412,"reading",503
"2","2018","Australia",1.368975412,"math",491
"3","2018","Australia",1.368975412,"science",503
"4","2018","Austria",0.73623970999,"reading",484
"5","2018","Austria",0.73623970999,"math",499
"6","2018","Austria",0.73623970999,"science",490
"7","2018","Canada",1.8686421985,"reading",520
"8","2018","Canada",1.8686421985,"math",512
"9","2018","Canada",1.8686421985,"science",518
"10","2018","Chile",3.6075682379,"reading",452
"11","2018","Chile",3.6075682379,"math",417
"12","2018","Chile",3.6075682379,"science",444
"13","2018","Colombia",40.459804299,"reading",412
"14","2018","Colombia",40.459804299,"math",391
"15","2018","Colombia",40.459804299,"science",413
"16","2018","Denmark",0.53266787809,"reading",501
"17","2018","Denmark",0.53266787809,"math",509
"18","2018","Denmark",0.53266787809,"science",493
"19","2018","Estonia",6.743872895,"reading",523
"20","2018","Estonia",6.743872895,"math",523
"21","2018","Estonia",6.743872895,"science",530
"22","2018","Finland",2.2548597913,"reading",520
"23","2018","Finland",2.2548597913,"math",507
"24","2018","Finland",2.2548597913,"science",522
"25","2018","France",1.4290609278,"reading",493
"26","2018","France",1.4290609278,"math",495
"27","2018","France",1.4290609278,"science",493
"28","2018","Germany",0.99174890685,"reading",498
"29","2018","Germany",0.99174890685,"math",500
"30","2018","Germany",0.99174890685,"science",503
"31","2018","Greece",0.98343968041,"reading",457
"32","2018","Greece",0.98343968041,"math",451
"33","2018","Greece",0.98343968041,"science",452
"34","2018","Iceland",0,"reading",474
"35","2018","Iceland",0,"math",495
"36","2018","Iceland",0,"science",475
"37","2018","Ireland",1.4655065843,"reading",518
"38","2018","Ireland",1.4655065843,"math",500
"39","2018","Ireland",1.4655065843,"science",496
"40","2018","Italy",1.0675982911,"reading",476
"41","2018","Italy",1.0675982911,"math",487
"42","2018","Italy",1.0675982911,"science",468
"43","2018","Japan",0.48200186353,"reading",504
"44","2018","Japan",0.48200186353,"math",527
"45","2018","Japan",0.48200186353,"science",529
"46","2018","Latvia",5.7526461049,"reading",479
"47","2018","Latvia",5.7526461049,"math",496
"48","2018","Latvia",5.7526461049,"science",487
"49","2018","Lithuania",8.7184776327,"reading",476
"50","2018","Lithuania",8.7184776327,"math",481
"51","2018","Lithuania",8.7184776327,"science",482
"52","2018","Mexico",9.7173530477,"reading",420
"53","2018","Mexico",9.7173530477,"math",409
"54","2018","Mexico",9.7173530477,"science",419
"55","2018","Netherlands",0.7785844981,"reading",485
"56","2018","Netherlands",0.7785844981,"math",519
"57","2018","Netherlands",0.7785844981,"science",503
"58","2018","Norway",0.70618657963,"reading",499
"59","2018","Norway",0.70618657963,"math",501
"60","2018","Norway",0.70618657963,"science",490
"61","2018","Poland",1.2775572022,"reading",512
"62","2018","Poland",1.2775572022,"math",516
"63","2018","Poland",1.2775572022,"science",511
"64","2018","Portugal",1.4701925108,"reading",492
"65","2018","Portugal",1.4701925108,"math",492
"66","2018","Portugal",1.4701925108,"science",492
"67","2018","Slovak Republic",1.5188914908,"reading",458
"68","2018","Slovak Republic",1.5188914908,"math",486
"69","2018","Slovak Republic",1.5188914908,"science",464
"70","2018","Slovenia",0.59927278248,"reading",495
"71","2018","Slovenia",0.59927278248,"math",509
"72","2018","Slovenia",0.59927278248,"science",507
"73","2018","Spain",1.0641969904,"reading",0
"74","2018","Spain",1.0641969904,"math",481
"75","2018","Spain",1.0641969904,"science",483
"76","2018","Sweden",1.0004210563,"reading",506
"77","2018","Sweden",1.0004210563,"math",502
"78","2018","Sweden",1.0004210563,"science",499
"79","2018","Switzerland",0.80450943629,"reading",484
"80","2018","Switzerland",0.80450943629,"math",515
"81","2018","Switzerland",0.80450943629,"science",495
"82","2018","Turkey",4.6075436689,"reading",466
"83","2018","Turkey",4.6075436689,"math",454
"84","2018","Turkey",4.6075436689,"science",468
"85","2018","United Kingdom",1.4139771875,"reading",504
"86","2018","United Kingdom",1.4139771875,"math",502
"87","2018","United Kingdom",1.4139771875,"science",505
"88","2018","United States",5.8130909014,"reading",505
"89","2018","United States",5.8130909014,"math",478
"90","2018","United States",5.8130909014,"science",502
"91","2018","Brazil",23.960670588,"reading",413
"92","2018","Brazil",23.960670588,"math",384
"93","2018","Brazil",23.960670588,"science",404
"94","2018","Bulgaria",2.4374198993,"reading",420
"95","2018","Bulgaria",2.4374198993,"math",436
"96","2018","Bulgaria",2.4374198993,"science",424
"97","2018","Croatia",1.6930608756,"reading",479
"98","2018","Croatia",1.6930608756,"math",464
"99","2018","Croatia",1.6930608756,"science",472
"100","2018","Montenegro",4.0462044175,"reading",421
"101","2018","Montenegro",4.0462044175,"math",430
"102","2018","Montenegro",4.0462044175,"science",415
"103","2018","Romania",1.6812411911,"reading",428
"104","2018","Romania",1.6812411911,"math",430
"105","2018","Romania",1.6812411911,"science",426
"106","2018","Uruguay",6.0744517281,"reading",427
"107","2018","Uruguay",6.0744517281,"math",418
"108","2018","Uruguay",6.0744517281,"science",426
"109","2015","Australia",1.368975412,"reading",503
"110","2015","Australia",1.368975412,"math",494
"111","2015","Australia",1.368975412,"science",510
"112","2015","Austria",0.73623970999,"reading",485
"113","2015","Austria",0.73623970999,"math",497
"114","2015","Austria",0.73623970999,"science",495
"115","2015","Canada",1.8686421985,"reading",527
"116","2015","Canada",1.8686421985,"math",516
"117","2015","Canada",1.8686421985,"science",528
"118","2015","Chile",3.6075682379,"reading",459
"119","2015","Chile",3.6075682379,"math",423
"120","2015","Chile",3.6075682379,"science",447
"121","2015","Colombia",40.459804299,"reading",425
"122","2015","Colombia",40.459804299,"math",390
"123","2015","Colombia",40.459804299,"science",416
"124","2015","Denmark",0.53266787809,"reading",500
"125","2015","Denmark",0.53266787809,"math",511
"126","2015","Denmark",0.53266787809,"science",502
"127","2015","Estonia",6.743872895,"reading",519
"128","2015","Estonia",6.743872895,"math",520
"129","2015","Estonia",6.743872895,"science",534
"130","2015","Finland",2.2548597913,"reading",526
"131","2015","Finland",2.2548597913,"math",511
"132","2015","Finland",2.2548597913,"science",531
"133","2015","France",1.4290609278,"reading",499
"134","2015","France",1.4290609278,"math",493
"135","2015","France",1.4290609278,"science",495
"136","2015","Germany",0.99174890685,"reading",509
"137","2015","Germany",0.99174890685,"math",506
"138","2015","Germany",0.99174890685,"science",509
"139","2015","Greece",0.98343968041,"reading",467
"140","2015","Greece",0.98343968041,"math",454
"141","2015","Greece",0.98343968041,"science",455
"142","2015","Iceland",0,"reading",482
"143","2015","Iceland",0,"math",488
"144","2015","Iceland",0,"science",473
"145","2015","Ireland",1.4655065843,"reading",521
"146","2015","Ireland",1.4655065843,"math",504
"147","2015","Ireland",1.4655065843,"science",503
"148","2015","Italy",1.0675982911,"reading",485
"149","2015","Italy",1.0675982911,"math",490
"150","2015","Italy",1.0675982911,"science",481
"151","2015","Japan",0.48200186353,"reading",516
"152","2015","Japan",0.48200186353,"math",532
"153","2015","Japan",0.48200186353,"science",538
"154","2015","Latvia",5.7526461049,"reading",488
"155","2015","Latvia",5.7526461049,"math",482
"156","2015","Latvia",5.7526461049,"science",490
"157","2015","Lithuania",8.7184776327,"reading",472
"158","2015","Lithuania",8.7184776327,"math",478
"159","2015","Lithuania",8.7184776327,"science",475
"160","2015","Mexico",9.7173530477,"reading",423
"161","2015","Mexico",9.7173530477,"math",408
"162","2015","Mexico",9.7173530477,"science",416
"163","2015","Netherlands",0.7785844981,"reading",503
"164","2015","Netherlands",0.7785844981,"math",512
"165","2015","Netherlands",0.7785844981,"science",509
"166","2015","Norway",0.70618657963,"reading",513
"167","2015","Norway",0.70618657963,"math",502
"168","2015","Norway",0.70618657963,"science",498
"169","2015","Poland",1.2775572022,"reading",506
"170","2015","Poland",1.2775572022,"math",504
"171","2015","Poland",1.2775572022,"science",501
"172","2015","Portugal",1.4701925108,"reading",498
"173","2015","Portugal",1.4701925108,"math",492
"174","2015","Portugal",1.4701925108,"science",501
"175","2015","Slovak Republic",1.5188914908,"reading",453
"176","2015","Slovak Republic",1.5188914908,"math",475
"177","2015","Slovak Republic",1.5188914908,"science",461
"178","2015","Slovenia",0.59927278248,"reading",505
"179","2015","Slovenia",0.59927278248,"math",510
